month_code;noticias_suicidio;media_sentimiento_noticias;descrip;suicidios
2005-01-01;180;-0.010833333333333334;Ambos sexos;285.0
2005-02-01;139;-0.010431654676258992;Ambos sexos;255.0
2005-03-01;159;-0.010377358490566037;Ambos sexos;302.0
2005-04-01;112;-0.010803571428571428;Ambos sexos;307.0
2005-05-01;144;-0.013125;Ambos sexos;304.0
2005-06-01;134;-0.01634328358208955;Ambos sexos;320.0
2005-07-01;113;-0.01088495575221239;Ambos sexos;306.0
2005-08-01;147;-0.008639455782312925;Ambos sexos;292.0
2005-09-01;138;-0.009782608695652175;Ambos sexos;275.0
2005-10-01;128;-0.007109375;Ambos sexos;278.0
2005-11-01;116;-0.009482758620689657;Ambos sexos;230.0
2005-12-01;99;-0.0073737373737373735;Ambos sexos;245.0
2006-01-01;140;-0.013214285714285715;Ambos sexos;264.0
2006-02-01;125;-0.00976;Ambos sexos;221.0
2006-03-01;154;-0.021233766233766233;Ambos sexos;289.0
2006-04-01;99;-0.007979797979797981;Ambos sexos;285.0
2006-05-01;132;-0.010833333333333334;Ambos sexos;323.0
2006-06-01;99;-0.009292929292929294;Ambos sexos;305.0
2006-07-01;88;-0.005;Ambos sexos;299.0
2006-08-01;176;-0.013579545454545455;Ambos sexos;302.0
2006-09-01;138;-0.00963768115942029;Ambos sexos;284.0
2006-10-01;140;-0.011285714285714286;Ambos sexos;267.0
2006-11-01;133;-0.004285714285714285;Ambos sexos;220.0
2006-12-01;140;-0.012928571428571428;Ambos sexos;187.0
2007-01-01;169;-0.007692307692307693;Ambos sexos;257.0
2007-02-01;171;-0.008888888888888889;Ambos sexos;238.0
2007-03-01;164;-0.007865853658536585;Ambos sexos;294.0
2007-04-01;143;-0.011608391608391607;Ambos sexos;257.0
2007-05-01;147;-0.01469387755102041;Ambos sexos;314.0
2007-06-01;105;-0.009904761904761906;Ambos sexos;302.0
2007-07-01;114;-0.014912280701754385;Ambos sexos;315.0
2007-08-01;196;-0.003520408163265306;Ambos sexos;295.0
2007-09-01;218;-0.0047706422018348625;Ambos sexos;272.0
2007-10-01;147;-0.006122448979591837;Ambos sexos;249.0
2007-11-01;93;-0.007634408602150537;Ambos sexos;237.0
2007-12-01;116;-0.01396551724137931;Ambos sexos;233.0
2008-01-01;125;-0.00936;Ambos sexos;271.0
2008-02-01;158;-0.016835443037974684;Ambos sexos;257.0
2008-03-01;134;-0.013134328358208954;Ambos sexos;309.0
2008-04-01;145;-0.02006896551724138;Ambos sexos;283.0
2008-05-01;119;-0.007647058823529412;Ambos sexos;282.0
2008-06-01;103;-0.011067961165048542;Ambos sexos;326.0
2008-07-01;180;-0.01011111111111111;Ambos sexos;301.0
2008-08-01;137;-0.007737226277372263;Ambos sexos;296.0
2008-09-01;169;-0.008402366863905325;Ambos sexos;282.0
2008-10-01;135;-0.012814814814814815;Ambos sexos;304.0
2008-11-01;155;-0.01038709677419355;Ambos sexos;273.0
2008-12-01;153;-0.012679738562091503;Ambos sexos;273.0
2009-01-01;149;-0.011006711409395973;Ambos sexos;275.0
2009-02-01;173;-0.007167630057803468;Ambos sexos;270.0
2009-03-01;162;-0.01419753086419753;Ambos sexos;272.0
2009-04-01;144;-0.008958333333333334;Ambos sexos;258.0
2009-05-01;144;-0.0059722222222222225;Ambos sexos;316.0
2009-06-01;119;-0.00865546218487395;Ambos sexos;321.0
2009-07-01;128;-0.012109375;Ambos sexos;330.0
2009-08-01;145;-0.009448275862068966;Ambos sexos;298.0
2009-09-01;153;-0.009673202614379085;Ambos sexos;303.0
2009-10-01;166;-0.009578313253012049;Ambos sexos;290.0
2009-11-01;146;-0.013904109589041095;Ambos sexos;288.0
2009-12-01;182;-0.01642857142857143;Ambos sexos;208.0
2010-01-01;146;-0.011575342465753424;Ambos sexos;270.0
2010-02-01;142;-0.01;Ambos sexos;227.0
2010-03-01;155;-0.008903225806451613;Ambos sexos;293.0
2010-04-01;160;-0.0155;Ambos sexos;289.0
2010-05-01;171;-0.00695906432748538;Ambos sexos;313.0
2010-06-01;193;-0.0051813471502590676;Ambos sexos;268.0
2010-07-01;152;-0.005526315789473684;Ambos sexos;280.0
2010-08-01;120;-0.007166666666666667;Ambos sexos;273.0
2010-09-01;148;-0.012094594594594594;Ambos sexos;265.0
2010-10-01;159;-0.011257861635220126;Ambos sexos;240.0
2010-11-01;185;-0.0018378378378378379;Ambos sexos;202.0
2010-12-01;211;-0.011943127962085309;Ambos sexos;238.0
2011-01-01;206;-0.009854368932038834;Ambos sexos;256.0
2011-02-01;160;-0.01075;Ambos sexos;243.0
2011-03-01;137;-0.005693430656934307;Ambos sexos;296.0
2011-04-01;188;-0.00898936170212766;Ambos sexos;268.0
2011-05-01;224;-0.009196428571428572;Ambos sexos;277.0
2011-06-01;149;-0.01268456375838926;Ambos sexos;285.0
2011-07-01;134;-0.005746268656716418;Ambos sexos;263.0
2011-08-01;142;-0.007887323943661973;Ambos sexos;269.0
2011-09-01;133;-0.01218045112781955;Ambos sexos;263.0
2011-10-01;138;-0.010289855072463768;Ambos sexos;259.0
2011-11-01;197;-0.011065989847715736;Ambos sexos;242.0
2011-12-01;229;-0.017161572052401746;Ambos sexos;259.0
2012-01-01;205;-0.01848780487804878;Ambos sexos;285.0
2012-02-01;163;-0.009386503067484663;Ambos sexos;265.0
2012-03-01;171;-0.01064327485380117;Ambos sexos;309.0
2012-04-01;189;-0.012645502645502646;Ambos sexos;291.0
2012-05-01;155;-0.007419354838709677;Ambos sexos;324.0
2012-06-01;136;-0.01566176470588235;Ambos sexos;310.0
2012-07-01;125;-0.00976;Ambos sexos;338.0
2012-08-01;143;-0.005734265734265734;Ambos sexos;312.0
2012-09-01;147;-0.009591836734693876;Ambos sexos;297.0
2012-10-01;178;-0.011067415730337078;Ambos sexos;267.0
2012-12-01;209;-0.011578947368421052;Ambos sexos;291.0
2013-01-01;150;-0.012799999999999999;Ambos sexos;344.0
2013-02-01;194;-0.012474226804123712;Ambos sexos;289.0
2013-03-01;173;-0.01;Ambos sexos;359.0
2013-04-01;182;-0.013626373626373625;Ambos sexos;324.0
2013-05-01;198;-0.011666666666666667;Ambos sexos;335.0
2013-06-01;198;-0.010707070707070708;Ambos sexos;363.0
2013-07-01;122;-0.011967213114754098;Ambos sexos;357.0
2013-08-01;124;-0.010887096774193548;Ambos sexos;308.0
2013-09-01;155;-0.007419354838709677;Ambos sexos;345.0
2013-10-01;139;-0.009999999999999998;Ambos sexos;301.0
2013-11-01;108;-0.005462962962962963;Ambos sexos;259.0
2013-12-01;119;-0.009831932773109243;Ambos sexos;286.0
2014-01-01;138;-0.011666666666666667;Ambos sexos;339.0
2014-02-01;176;-0.009659090909090909;Ambos sexos;293.0
2014-03-01;189;-0.011798941798941798;Ambos sexos;318.0
2014-04-01;145;-0.011448275862068966;Ambos sexos;338.0
2014-05-01;160;-0.01225;Ambos sexos;331.0
2014-06-01;162;-0.00919753086419753;Ambos sexos;371.0
2014-07-01;144;-0.007013888888888889;Ambos sexos;342.0
2014-08-01;176;-0.015113636363636364;Ambos sexos;354.0
2014-09-01;147;-0.012857142857142857;Ambos sexos;334.0
2014-10-01;146;-0.010479452054794522;Ambos sexos;332.0
2014-11-01;159;-0.016226415094339624;Ambos sexos;283.0
2014-12-01;145;-0.019448275862068966;Ambos sexos;275.0
2015-01-01;160;-0.0119375;Ambos sexos;276.0
2015-02-01;130;-0.010615384615384615;Ambos sexos;270.0
2015-03-01;199;-0.012462311557788945;Ambos sexos;367.0
2015-04-01;178;-0.010393258426966293;Ambos sexos;287.0
2015-05-01;180;-0.010555555555555556;Ambos sexos;331.0
2015-06-01;152;-0.007434210526315789;Ambos sexos;308.0
2015-07-01;195;-0.011076923076923078;Ambos sexos;359.0
2015-09-01;137;-0.0062043795620437955;Ambos sexos;295.0
2015-10-01;201;-0.009701492537313432;Ambos sexos;274.0
2015-11-01;137;-0.010437956204379562;Ambos sexos;235.0
2015-12-01;146;-0.004863013698630137;Ambos sexos;288.0
2016-01-01;191;-0.012408376963350785;Ambos sexos;301.0
2016-02-01;149;-0.011208053691275168;Ambos sexos;283.0
2016-03-01;216;-0.002777777777777778;Ambos sexos;289.0
2016-04-01;168;-0.009642857142857144;Ambos sexos;292.0
2016-05-01;163;-0.004355828220858895;Ambos sexos;320.0
2016-06-01;150;-0.0082;Ambos sexos;328.0
2016-07-01;161;-0.009751552795031057;Ambos sexos;311.0
2016-08-01;205;-0.008;Ambos sexos;321.0
2016-09-01;189;-0.008941798941798942;Ambos sexos;311.0
2016-10-01;179;-0.00899441340782123;Ambos sexos;269.0
2016-11-01;113;-0.011150442477876107;Ambos sexos;251.0
2016-12-01;121;-0.01322314049586777;Ambos sexos;293.0
2017-01-01;148;-0.012094594594594594;Ambos sexos;279.0
2017-02-01;135;-0.010592592592592593;Ambos sexos;297.0
2017-03-01;141;-0.012553191489361702;Ambos sexos;310.0
2017-04-01;154;-0.015584415584415584;Ambos sexos;300.0
2017-05-01;180;-0.009166666666666667;Ambos sexos;319.0
2017-06-01;119;-0.011344537815126052;Ambos sexos;328.0
2017-07-01;194;-0.013144329896907215;Ambos sexos;348.0
2017-08-01;113;-0.009823008849557523;Ambos sexos;337.0
2017-09-01;141;-0.011914893617021275;Ambos sexos;307.0
2017-10-01;147;-0.015034013605442176;Ambos sexos;346.0
2017-11-01;157;-0.022229299363057325;Ambos sexos;267.0
2017-12-01;125;-0.00992;Ambos sexos;241.0
